Distance (m),Time (s),Speed (km/h),Brake_Pressure (bar)
300.0,0.0,200.0,0.0
298.3,0.12,200.0,0.0
296.6,0.24,199.9,9.4
294.9,0.36,199.6,18.8
293.1,0.48,199.0,28.1
291.3,0.6,198.0,37.5
289.3,0.72,196.8,46.9
287.2,0.84,195.2,56.2
284.9,0.96,193.1,65.6
282.5,1.08,190.5,75.0
279.8,1.2,187.3,75.0
277.0,1.32,183.6,75.0
274.0,1.44,179.3,75.0
270.8,1.56,174.4,75.0
267.4,1.68,169.0,75.0
263.7,1.8,162.9,62.0
259.9,1.92,156.3,53.4
255.8,2.04,149.2,47.6
251.5,2.16,141.6,43.7
247.1,2.28,133.7,40.9
242.4,2.4,125.4,39.0
237.5,2.52,116.8,37.6
232.4,2.64,107.9,36.7
227.2,2.76,98.8,36.1
221.7,2.88,89.5,35.6
216.2,3.0,80.1,35.2
210.5,3.12,71.0,34.9
204.8,3.24,62.2,34.6
199.0,3.36,53.7,34.4
193.1,3.48,45.7,34.2
187.2,3.6,38.1,34.0
181.2,3.72,31.2,33.9
175.2,3.84,25.0,33.7
169.1,3.96,19.6,33.6
163.0,4.08,15.1,33.5
156.9,4.2,11.5,33.4
150.8,4.32,8.8,33.3
144.6,4.44,7.0,33.2
138.5,4.56,6.1,33.1
132.3,4.68,5.9,33.1
126.2,4.8,6.0,33.0
